Sample_ID,Heterozygous,Homozygous,Missing
TAMex0164.2,25.84,70.19,3.97
TAMex0165.1,17.09,77.11,5.8
TAMex0167.1,23.5,73.25,3.26
TAMex0169.1,21.67,75.89,2.44
TAMex0170.2,18.62,77.21,4.17
TAMex0171.1,23.5,74.26,2.24
TAMex0176.1,16.68,80.98,2.34
TAMex0177.2,23.4,71.62,4.98
TAMex0181.2,23.8,71.41,4.78
TAMex0184.1,22.08,72.33,5.6
TAMex0185.1,20.96,75.38,3.66
TAMex0186.2,17.9,76.91,5.19
TAMex0187.2,22.89,73.35,3.76
TAMex0189.3,22.79,74.06,3.15
TAMex0193.3,24.42,72.53,3.05
TAMex0197.1,18.92,77.11,3.97
TAMex0198.1,17.6,77.52,4.88
TAMex0199.3,22.18,65.11,12.72
TAMex0202.2,23.8,72.33,3.87
TAMex0205.1,22.08,75.58,2.34
TAMex0207.2,24.72,69.28,6
TAMex0211.1,24.82,70.19,4.98
TAMex0213.1,21.46,73.96,4.58
TAMex0214.1,19.94,77.92,2.14
TAMex0215.3,17.19,78.23,4.58
TAMex0216.3,20.96,70.8,8.24
TAMex0218.1,22.89,75.18,1.93
TAMex0222.1,24.62,72.13,3.26
TAMex0224.1,24.42,71.72,3.87
TAMex0225.1,10.58,85.55,3.87
TAMex0226.1,20.45,77.01,2.54
TAMex0227.3,17.4,46.69,35.91
TAMex0230.1,18.72,76.4,4.88
TAMex0231.1,25.84,68.97,5.19
TAMex0233.1,22.79,71.62,5.6
TAMex0235.2,20.24,76.5,3.26
TAMex0236.1,23.3,71.31,5.39
TAMex0238.1,24.01,70.3,5.7
TAMex0239.1,21.16,71.41,7.43
TAMex0240.2,23.4,69.79,6.82
TAMex0241.1,24.21,70.7,5.09
TAMex0242.1,24.11,68.16,7.73
TAMex0245.3,30.52,66.23,3.26
TAMex0247.3,12.41,82.91,4.68
TAMex0249.1,25.43,69.28,5.29
TAMex0250.1,26.96,69.07,3.97
TAMex0251.1,24.01,70.19,5.8
TAMex0252.1,24.31,72.33,3.36
TAMex0253.2,22.99,74.47,2.54
TAMex0255.1,18.82,76.91,4.27
TAMex0256.3,15.87,63.48,20.65
TAMex0257.1,21.46,70.91,7.63
TAMex0260.1,19.13,74.47,6.41
TAMex0261.1,24.21,71.41,4.37
TAMex0263.2,26.04,69.48,4.48
TAMex0266.1,23.91,71.41,4.68
TAMex0267.2,24.31,72.53,3.15
TAMex0268.1,26.14,69.89,3.97
TAMex0269.2,23.3,70.7,6
TAMex0270.5,23.19,70.19,6.61
TAMex0272.2,22.38,74.87,2.75
TAMex0273.1,27.77,69.07,3.15
